age_days,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,officer_turnover_rate,filing_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved,sic_missing,company_type_llp,company_type_ltd,company_type_oversea-company,company_type_private-limited-guarant-nsc,company_type_private-limited-guarant-nsc-limited-exemption,company_type_private-unlimited,sic_sector_Construction/Transport,sic_sector_Finance/Insurance,sic_sector_Manufacturing,sic_sector_Other Services,sic_sector_Public/Education/Health,sic_sector_Real Estate/Business,sic_sector_Retail/Trade,sic_sector_Unknown,region_clean_County Armagh,region_clean_County Down,region_clean_County Fermanagh,region_clean_County Londonderry,region_clean_County Tyrone,region_clean_England Other,region_clean_International,region_clean_London/SE England,region_clean_Other,region_clean_Scotland,region_clean_Unknown/NI,region_clean_Wales
9326,0,0,0,0,0,14,0.929,85,0,0,0.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4586,0,1,0,0,0,6,0.5,43,1,1,0.0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4088,1,1,1,0,0,8,0.5,59,3,1,0.667,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3741,0,1,0,0,0,3,0.0,35,1,1,0.0,0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4473,0,0,0,0,0,3,0.0,37,0,0,0.0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9557,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7817,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
7609,0,0,0,0,0,0,0.0,5,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
8073,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9228,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
9045,0,0,0,0,0,0,0.0,5,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
8211,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7817,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8228,0,0,0,0,0,4,0.5,21,0,0,0.0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
4788,0,1,0,0,0,40,0.425,100,1,1,0.0,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
3207,0,1,0,0,0,11,0.818,100,1,0,1.0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
7769,0,0,0,0,0,2,0.0,23,0,0,0.0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8526,1,1,0,0,0,7,0.571,77,3,0,1.0,4,1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8742,0,0,0,0,0,7,0.0,10,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
8667,0,0,0,0,0,6,0.0,11,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
7936,0,0,0,0,0,2,0.0,3,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9314,0,0,0,0,0,2,0.0,3,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
8905,0,0,0,0,0,3,0.0,4,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9168,0,0,0,0,0,2,0.0,3,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9489,0,0,0,0,0,4,0.0,3,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9169,0,0,0,0,0,3,0.0,4,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8316,0,0,0,0,0,3,0.0,4,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
8218,0,0,0,0,0,1,0.0,4,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
9538,0,1,0,0,0,3,0.0,14,2,2,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9444,0,0,0,0,0,7,0.0,4,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
8539,0,0,0,0,0,4,0.5,8,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
7536,0,0,0,0,0,1,1.0,4,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9046,0,0,0,0,0,3,0.0,6,0,0,0.0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
